RowNumber,CustomerId,Name,CardNumber,CreditScore,Country,EstimatedSalary,ConversionDate,FirstPurchase,DateOfPitch,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember
24,15725737,Mosman,3.57986E+15,669,France,8487.75,12/26/2021,12/26/2021,12/26/2021,Male,46,3,0,2,1
25,15625047,Yen,3.53314E+15,846,France,187616.16,12/11/2022,12/11/2022,12/11/2022,Female,38,5,0,1,1
26,15738191,Maclean,5.10018E+15,577,France,124508.29,12/28/2021,12/28/2021,12/28/2021,Male,25,3,0,2,1
27,15736816,Young,3.00088E+13,756,Germany,170041.95,5/14/2022,5/14/2022,5/14/2022,Male,36,2,136815.64,1,1
28,15700772,Nebechi,2.01616E+14,571,France,38433.35,11/30/2022,11/30/2022,11/30/2022,Male,44,9,0,2,0
29,15728693,McWilliams,6.76296E+16,574,Germany,100187.43,10/27/2022,10/27/2022,10/27/2022,Female,43,3,141349.43,1,1
30,15656300,Lucciano,3.01059E+13,411,France,53483.21,12/22/2021,12/22/2021,12/22/2021,Male,29,0,59697.17,2,1
31,15589475,Azikiwe,4.17501E+15,591,Spain,140469.38,10/6/2022,10/6/2022,10/6/2022,Female,39,3,0,3,0
32,15706552,Odinakachukwu,3.57277E+15,533,France,156731.91,2/8/2022,2/8/2022,2/8/2022,Male,36,7,85311.7,1,1
33,15750181,Sanderson,6.39564E+15,553,Germany,81898.81,2/10/2022,2/10/2022,2/10/2022,Male,41,9,110112.54,2,0
34,15659428,Maggard,3.56919E+15,520,Spain,34410.55,10/7/2022,10/7/2022,10/7/2022,Female,42,6,0,2,1
35,15732963,Clements,3.53915E+15,722,Spain,142033.07,11/9/2022,11/9/2022,11/9/2022,Female,29,9,0,2,1
36,15794171,Lombardo,3.57001E+15,475,France,27822.99,5/15/2022,5/15/2022,5/15/2022,Female,45,0,134264.04,1,0
37,15788448,Watson,5.2728E+15,490,Spain,114066.77,10/22/2022,10/22/2022,10/22/2022,Male,31,3,145260.23,1,1
38,15729599,Lorenzo,4.90313E+18,804,Spain,98453.45,4/13/2022,4/13/2022,4/13/2022,Male,33,7,76548.6,1,1
39,15717426,Armstrong,2.01621E+14,850,France,40812.9,1/2/2022,1/2/2022,1/2/2022,Male,36,7,0,1,1
40,15585768,Cameron,6.76206E+18,582,Germany,178074.04,4/23/2022,4/23/2022,4/23/2022,Male,41,6,70349.48,2,1
41,15619360,Hsiao,3.53892E+15,472,Spain,70154.22,10/26/2022,10/26/2022,10/26/2022,Male,40,4,0,1,0
42,15738148,Clarke,3.54894E+15,465,France,181297.65,10/14/2022,10/14/2022,10/14/2022,Female,51,8,122522.32,1,0
43,15687946,Osborne,3.5812E+15,556,France,94153.83,3/26/2022,3/26/2022,3/26/2022,Female,61,2,117419.35,1,1
44,15755196,Lavine,3.53359E+15,834,France,194365.76,9/10/2022,9/10/2022,9/10/2022,Female,49,2,131394.56,1,0
45,15684171,Bianchi,3.53425E+15,660,Spain,158338.39,3/13/2022,3/13/2022,3/13/2022,Female,61,5,155931.11,1,1
46,15754849,Tyler,3.53998E+15,776,Germany,126517.46,2/3/2022,2/3/2022,2/3/2022,Female,32,4,109421.13,2,1
47,15602280,Martin,3.55954E+15,829,Germany,119708.21,12/21/2021,12/21/2021,12/21/2021,Female,27,9,112045.67,1,1
48,15771573,Okagbue,3.74289E+14,637,Germany,117622.8,2/22/2022,2/22/2022,2/22/2022,Female,39,9,137843.8,1,1
49,15766205,Yin,3.57091E+15,550,Germany,90878.13,11/12/2022,11/12/2022,11/12/2022,Male,38,2,103391.38,1,1
50,15771873,Buccho,6.75918E+16,776,Germany,194099.12,4/6/2022,4/6/2022,4/6/2022,Female,37,2,103769.22,2,0
51,15616550,Chidiebele,3.56775E+15,698,Germany,198059.16,9/19/2022,9/19/2022,9/19/2022,Male,44,10,116363.37,2,0
52,15768193,Trevisani,3.57912E+15,585,Germany,86424.57,6/17/2022,6/17/2022,6/17/2022,Male,36,5,146050.97,2,0
53,15683553,O'Brien,2.01856E+14,788,France,116978.19,3/9/2022,3/9/2022,3/9/2022,Female,33,5,0,2,0
54,15702298,Parkhill,5.03839E+17,655,Germany,164040.94,2/25/2022,2/25/2022,2/25/2022,Male,41,8,125561.97,1,0
55,15569590,Yoo,3.54772E+15,601,Germany,40014.76,8/29/2022,8/29/2022,8/29/2022,Male,42,1,98495.72,1,0
56,15760861,Phillipps,3.57919E+15,619,France,113410.49,6/13/2022,6/13/2022,6/13/2022,Male,43,1,125211.92,1,1
57,15630053,Tsao,5.47055E+15,656,France,87107.57,12/13/2021,12/13/2021,12/13/2021,Male,45,5,127864.4,1,0
58,15647091,Endrizzi,3.55694E+15,725,Germany,45613.75,5/19/2022,5/19/2022,5/19/2022,Male,19,0,75888.2,1,0
59,15623944,T'ien,3.43222E+14,511,Spain,1643.11,8/30/2022,8/30/2022,8/30/2022,Female,66,4,0,1,0
60,15804771,Velazquez,4.17501E+15,614,France,46775.28,4/29/2022,4/29/2022,4/29/2022,Male,51,4,40685.92,1,1
61,15651280,Hunter,5.60221E+15,742,Germany,84509.57,3/15/2022,3/15/2022,3/15/2022,Male,35,5,136857,1,0
62,15773469,Clark,3.74623E+14,687,Germany,126494.82,12/29/2021,12/29/2021,12/29/2021,Female,27,9,152328.88,2,0
63,15702014,Jeffrey,5.61051E+15,555,Spain,178798.13,11/11/2022,11/11/2022,11/11/2022,Male,33,1,56084.69,2,0
64,15751208,Pirozzi,3.57127E+15,684,Spain,99398.36,9/14/2022,9/14/2022,9/14/2022,Male,56,8,78707.16,1,1
65,15592461,Jackson,3.56956E+15,603,Germany,92840.67,8/3/2022,8/3/2022,8/3/2022,Male,26,4,109166.37,1,1
66,15789484,Hammond,3.74289E+14,751,Germany,27758.36,9/28/2022,9/28/2022,9/28/2022,Female,36,6,169831.46,2,1
67,15696061,Brownless,5.60225E+15,581,Germany,110431.51,5/25/2022,5/25/2022,5/25/2022,Female,34,1,101633.04,1,0
68,15641582,Chibugo,3.56087E+15,735,Germany,196673.28,12/21/2021,12/21/2021,12/21/2021,Male,43,10,123180.01,2,1
69,15638424,Glauert,5.89343E+17,661,Germany,113656.85,4/23/2022,4/23/2022,4/23/2022,Female,35,5,150725.53,2,1
70,15755648,Pisano,5.60224E+15,675,France,18203,10/2/2022,10/2/2022,10/2/2022,Female,21,8,98373.26,1,0
71,15703793,Konovalova,4.93636E+17,738,Germany,28373.86,3/10/2022,3/10/2022,3/10/2022,Male,58,2,133745.44,4,0
72,15620344,McKee,3.0095E+13,813,France,33953.87,10/17/2022,10/17/2022,10/17/2022,Male,29,6,0,1,0
73,15812518,Palermo,3.74284E+14,657,Spain,44203.55,5/4/2022,5/4/2022,5/4/2022,Female,37,0,163607.18,1,1
74,15779052,Ballard,4.91305E+15,604,Germany,58426.81,10/29/2022,10/29/2022,10/29/2022,Female,25,5,157780.84,2,1
75,15770811,Wallace,6.76342E+18,519,France,145562.4,7/2/2022,7/2/2022,7/2/2022,Male,36,9,0,2,1
76,15780961,Cavenagh,3.53833E+15,735,France,22388,8/13/2022,8/13/2022,8/13/2022,Female,21,1,178718.19,2,0
77,15614049,Hu,6.04549E+15,664,France,139161.64,12/10/2022,12/10/2022,12/10/2022,Male,55,8,0,2,1
78,15662085,Read,3.37941E+14,678,France,148210.64,4/25/2022,4/25/2022,4/25/2022,Female,32,9,0,1,1
79,15575185,Bushell,3.55212E+15,757,Spain,194239.63,4/13/2022,4/13/2022,4/13/2022,Male,33,5,77253.22,1,1
80,15803136,Postle,3.56272E+15,416,Germany,98301.61,5/29/2022,5/29/2022,5/29/2022,Female,41,10,122189.66,2,0
81,15706021,Buley,3.72302E+14,665,France,171413.66,2/3/2022,2/3/2022,2/3/2022,Female,34,1,96645.54,2,0
82,15663706,Leonard,5.47543E+15,777,France,136458.19,12/2/2022,12/2/2022,12/2/2022,Female,32,2,0,1,0
83,15641732,Mills,5.02006E+17,543,France,26019.59,9/18/2022,9/18/2022,9/18/2022,Female,36,3,0,2,0
84,15701164,Onyeorulu,4.37955E+15,506,France,159235.29,6/8/2022,6/8/2022,6/8/2022,Female,34,4,90307.62,1,1
85,15738751,Beit,3.6398E+13,493,France,1907.66,6/13/2022,6/13/2022,6/13/2022,Female,46,4,0,2,0
86,15805254,Ndukaku,3.78167E+14,652,Spain,114675.75,12/26/2021,12/26/2021,12/26/2021,Female,75,10,0,2,1
87,15762418,Gant,3.55281E+15,750,Spain,128643.35,8/30/2022,8/30/2022,8/30/2022,Male,22,3,121681.82,1,0
88,15625759,Rowley,5.44886E+15,729,France,151869.35,9/19/2022,9/19/2022,9/19/2022,Male,30,9,0,2,0
89,15622897,Sharpe,5.60223E+15,646,France,93251.42,8/30/2022,8/30/2022,8/30/2022,Female,46,4,0,3,0
90,15767954,Osborne,3.53447E+15,635,Germany,156791.36,8/13/2022,8/13/2022,8/13/2022,Female,28,3,81623.67,2,1
91,15757535,Heap,5.38647E+15,647,Spain,174205.22,4/21/2022,4/21/2022,4/21/2022,Female,44,5,0,3,1
92,15731511,Ritchie,6.7066E+17,808,France,147132.46,8/22/2022,8/22/2022,8/22/2022,Male,45,7,118626.55,2,0
93,15809248,Cole,3.56008E+15,524,France,109614.57,6/15/2022,6/15/2022,6/15/2022,Female,36,10,0,2,0
94,15640635,Capon,3.56261E+15,769,France,172290.61,9/8/2022,9/8/2022,9/8/2022,Male,29,8,0,2,1
95,15676966,Capon,3.58163E+15,730,Spain,85982.47,7/29/2022,7/29/2022,7/29/2022,Male,42,4,0,2,1
96,15699461,Fiorentini,6.70653E+15,515,Spain,121277.78,2/11/2022,2/11/2022,2/11/2022,Male,35,10,176273.95,1,1
97,15738721,Graham,3.54228E+15,773,Spain,64595.25,1/11/2022,1/11/2022,1/11/2022,Male,41,9,102827.44,1,1
98,15693683,Yuille,3.55444E+15,814,Germany,197276.13,2/20/2022,2/20/2022,2/20/2022,Male,29,8,97086.4,2,1
99,15604348,Allard,3.01408E+13,710,Spain,99645.04,2/7/2022,2/7/2022,2/7/2022,Male,22,8,0,2,0
100,15633059,Fanucci,5.64183E+15,413,France,6534.18,9/27/2022,9/27/2022,9/27/2022,Male,34,9,0,2,0
101,15808582,Fu,5.02016E+17,665,France,161848.03,9/17/2022,9/17/2022,9/17/2022,Female,40,6,0,1,1
102,15743192,Hung,3.58686E+15,623,France,167162.43,1/28/2022,1/28/2022,1/28/2022,Female,44,6,0,2,0
103,15580146,Hung,3.55093E+15,738,France,41970.72,9/15/2022,9/15/2022,9/15/2022,Male,31,9,82674.15,1,0
104,15776605,Bradley,3.74623E+14,528,Spain,60536.56,11/1/2022,11/1/2022,11/1/2022,Male,36,7,0,2,0
105,15804919,Dunbabin,5.60225E+16,670,Spain,177655.68,6/13/2022,6/13/2022,6/13/2022,Female,65,1,0,1,1
106,15613854,Mauldon,3.57006E+15,622,Spain,30984.59,3/11/2022,3/11/2022,3/11/2022,Female,46,4,107073.27,2,1
107,15599195,Stiger,3.52882E+15,582,Germany,10054.53,2/8/2022,2/8/2022,2/8/2022,Male,32,1,88938.62,1,1
108,15812878,Parsons,3.60735E+13,785,Germany,36976.52,9/26/2022,9/26/2022,9/26/2022,Female,36,2,99806.85,1,1
109,15602312,Walkom,5.60221E+15,605,Spain,71862.79,11/23/2022,11/23/2022,11/23/2022,Male,33,5,150092.8,1,0
110,15744689,T'ang,3.54917E+15,479,Germany,99449.86,1/1/2022,1/1/2022,1/1/2022,Male,35,9,92833.89,1,0
111,15803526,Eremenko,3.58162E+15,685,Germany,63082.88,12/24/2021,12/24/2021,12/24/2021,Male,30,3,90536.81,1,1
112,15665790,Rowntree,3.72301E+14,538,Germany,27231.26,1/15/2022,1/15/2022,1/15/2022,Male,39,7,108055.1,2,0
113,15715951,Thorpe,5.61087E+16,562,France,86797.41,12/19/2021,12/19/2021,12/19/2021,Male,42,2,100238.35,1,0
114,15591100,Chiemela,4.21371E+15,675,Spain,22994.32,11/14/2022,11/14/2022,11/14/2022,Male,36,9,106190.55,1,1
115,15609618,Fanucci,3.53589E+15,721,Germany,101300.94,1/20/2022,1/20/2022,1/20/2022,Male,28,9,154475.54,2,1
116,15675522,Ko,5.10013E+15,628,Germany,74169.13,9/11/2022,9/11/2022,9/11/2022,Female,30,9,132351.29,2,1
117,15705512,Welch,5.60223E+17,668,Germany,115638.29,1/28/2022,1/28/2022,1/28/2022,Female,37,6,167864.4,1,0
118,15698028,Duncan,6.39155E+15,506,France,31766.3,4/27/2022,4/27/2022,4/27/2022,Female,41,1,0,2,0
119,15661670,Chidozie,5.60223E+15,524,Germany,199725.39,1/3/2022,1/3/2022,1/3/2022,Female,31,8,107818.63,1,0
120,15600781,Wu,3.58242E+15,699,Germany,120834.48,4/25/2022,4/25/2022,4/25/2022,Male,34,4,185173.81,2,0
121,15682472,Culbreth,6.33401E+17,828,France,38131.77,12/16/2021,12/16/2021,12/16/2021,Male,34,8,129433.34,2,0
122,15580203,Kennedy,3.54549E+15,674,Spain,100130.95,8/27/2022,8/27/2022,8/27/2022,Male,39,6,120193.42,1,0
123,15690673,Cameron,3.64511E+13,656,France,141069.88,3/11/2022,3/11/2022,3/11/2022,Female,39,6,0,2,0
124,15760085,Calabresi,6.70688E+15,684,Germany,198129.36,8/12/2022,8/12/2022,8/12/2022,Female,48,10,126384.42,1,1
125,15779659,Zetticci,6.76393E+17,625,France,183646.41,4/11/2022,4/11/2022,4/11/2022,Female,28,3,0,1,0
126,15627360,Fuller,3.55309E+15,432,France,110265.24,1/17/2022,1/17/2022,1/17/2022,Male,42,9,152603.45,1,0
127,15671137,MacDonald,3.53471E+15,549,France,8636.05,12/19/2021,12/19/2021,12/19/2021,Female,52,1,0,1,1
128,15782688,Piccio,5.19606E+15,625,Germany,46824.08,1/29/2022,1/29/2022,1/29/2022,Male,56,0,148507.24,1,0
129,15575492,Kennedy,3.56867E+15,828,France,171378.77,7/18/2022,7/18/2022,7/18/2022,Female,41,7,0,2,0
130,15591607,Fernie,4.9117E+15,770,France,167256.35,6/30/2022,6/30/2022,6/30/2022,Male,24,9,101827.07,1,0
131,15740404,He,4.40598E+15,758,France,124226.16,4/22/2022,4/22/2022,4/22/2022,Female,34,3,0,2,1
132,15718369,Kaodilinakachukwu,2.01818E+14,795,Germany,114935.21,11/20/2022,11/20/2022,11/20/2022,Female,33,9,130862.43,1,1
133,15677871,Cocci,3.58825E+15,687,France,35608.88,5/25/2022,5/25/2022,5/25/2022,Male,38,9,122570.87,1,1
134,15642004,Alekseeva,4.84408E+15,686,France,16459.37,4/29/2022,4/29/2022,4/29/2022,Male,25,1,0,2,1
135,15712543,Chinweike,3.58942E+15,789,Germany,124411.08,5/30/2022,5/30/2022,5/30/2022,Male,39,7,124828.46,2,1
136,15584518,Arthur,5.10017E+15,589,Germany,34941.23,9/26/2022,9/26/2022,9/26/2022,Female,50,5,144895.05,2,1
137,15802381,Li,3.04669E+13,461,Germany,167784.28,5/4/2022,5/4/2022,5/4/2022,Female,34,5,63663.93,1,1
138,15610156,Ma,3.58056E+15,637,France,93165.34,7/11/2022,7/11/2022,7/11/2022,Male,40,2,133463.1,1,1
139,15594408,Chia,3.5428E+15,584,Spain,75161.25,11/22/2022,11/22/2022,11/22/2022,Female,48,2,213146.2,1,0
140,15640905,Vasin,3.56829E+15,579,Spain,8590.83,1/31/2022,1/31/2022,1/31/2022,Female,35,1,129490.36,2,1
141,15698932,Groves,3.55018E+15,756,Germany,189543.9,1/2/2022,1/2/2022,1/2/2022,Male,44,10,137452.09,1,0
142,15724944,Tien,3.53224E+15,663,France,180427.24,7/12/2022,7/12/2022,7/12/2022,Male,34,7,0,2,1
143,15628145,Forwood,3.53704E+15,682,France,193318.33,5/31/2022,5/31/2022,5/31/2022,Female,43,5,125851.93,1,1
144,15713483,Greeves,3.55095E+15,793,Spain,159123.82,8/19/2022,8/19/2022,8/19/2022,Male,52,2,0,1,0
145,15612350,Taylor,3.56378E+15,691,France,126213.84,1/23/2022,1/23/2022,1/23/2022,Female,31,5,40915.55,1,0
146,15800703,Madukwe,3.54398E+15,485,Spain,54141.5,1/6/2022,1/6/2022,1/6/2022,Female,21,5,113157.22,1,1
147,15705707,Bennelong,3.55955E+15,635,Spain,141075.51,7/30/2022,7/30/2022,7/30/2022,Female,29,8,138296.94,2,0
148,15754105,Olisanugo,3.02864E+13,650,France,24495.03,4/6/2022,4/6/2022,4/6/2022,Male,37,5,106967.18,1,0
149,15703264,Chukwufumnanya,6.38545E+15,735,France,74836.34,4/3/2022,4/3/2022,4/3/2022,Male,44,9,120681.63,1,0
150,15794413,Harris,5.47747E+15,416,France,878.87,3/2/2022,3/2/2022,3/2/2022,Male,32,0,0,2,1
151,15650237,Morgan,3.57893E+15,754,Spain,89520.75,8/15/2022,8/15/2022,8/15/2022,Female,32,7,0,2,0
152,15759618,Alexeeva,6.33444E+17,535,France,149892.79,7/16/2022,7/16/2022,7/16/2022,Female,48,9,0,1,0
153,15811589,Metcalfe,4.91181E+17,716,Spain,180800.42,4/24/2022,4/24/2022,4/24/2022,Male,42,8,0,2,0
154,15689044,Humphries,3.57749E+15,539,France,98646.22,4/21/2022,4/21/2022,4/21/2022,Male,37,2,127609.59,1,0
155,15709368,Milne,3.56349E+15,614,France,109041.53,5/15/2022,5/15/2022,5/15/2022,Female,43,6,0,2,1
156,15679145,Chou,5.03843E+17,706,Spain,17941.16,3/31/2022,3/31/2022,3/31/2022,Male,57,7,0,1,0
157,15655007,Li,3.57955E+15,758,France,82996.47,3/19/2022,3/19/2022,3/19/2022,Female,33,7,0,2,0
158,15623595,Clayton,6.76716E+15,586,Spain,92067.35,10/14/2022,10/14/2022,10/14/2022,Female,28,2,0,2,1
159,15589975,Maclean,3.56522E+15,646,France,104719.66,7/15/2022,7/15/2022,7/15/2022,Female,73,6,97259.25,1,1
160,15804017,Chigolum,3.5596E+15,631,Germany,112687.57,6/10/2022,6/10/2022,6/10/2022,Female,33,4,123246.7,1,0
161,15692132,Wilkinson,3.58915E+15,717,Spain,84699.56,8/20/2022,8/20/2022,8/20/2022,Female,22,6,101060.25,1,1
162,15641122,Wei,5.60226E+15,684,France,83473.82,1/6/2022,1/6/2022,1/6/2022,Male,30,2,0,2,0
163,15630910,Treacy,3.58104E+15,800,France,47125.11,8/23/2022,8/23/2022,8/23/2022,Female,49,7,108007.36,1,0
164,15680772,Hu,3.0504E+13,721,Spain,106977.8,2/21/2022,2/21/2022,2/21/2022,Female,36,2,0,2,1
165,15658929,Taverner,3.56282E+15,683,Spain,55582.54,11/28/2022,11/28/2022,11/28/2022,Male,29,0,133702.89,1,0
166,15585388,Sherman,5.01013E+15,660,Germany,139874.43,7/2/2022,7/2/2022,7/2/2022,Male,31,9,125189.75,2,1
167,15724623,Taubman,3.55025E+15,704,Germany,162503.48,3/9/2022,3/9/2022,3/9/2022,Female,24,7,113034.22,1,0
168,15588537,Robinson,6.76153E+18,615,Spain,196499.96,4/19/2022,4/19/2022,4/19/2022,Female,41,9,109013.23,1,0
169,15574692,Pinto,6.3846E+15,667,Spain,40721.24,11/23/2022,11/23/2022,11/23/2022,Female,39,2,0,2,0
170,15611325,Wood,3.03008E+13,682,Germany,53134.3,12/26/2021,12/26/2021,12/26/2021,Male,24,9,57929.81,2,0
171,15587562,Hawkins,6.3334E+15,484,France,164017.89,7/31/2022,7/31/2022,7/31/2022,Female,29,4,130114.39,1,0
172,15613172,Sun,3.6914E+13,628,Germany,155996.96,9/12/2022,9/12/2022,9/12/2022,Male,27,5,95826.49,2,0
173,15651022,Yost,3.52823E+15,480,Germany,5472.7,12/19/2021,12/19/2021,12/19/2021,Male,44,10,129608.57,1,0
174,15586310,Ting,3.58627E+15,578,France,112187.11,2/13/2022,2/13/2022,2/13/2022,Male,30,4,169462.09,1,0
175,15625524,Rowe,3.54651E+15,512,France,146457.83,10/16/2022,10/16/2022,10/16/2022,Male,40,5,0,2,1
176,15755209,Fu,5.60226E+18,484,Spain,27286.1,10/9/2022,10/9/2022,10/9/2022,Female,35,7,133868.21,1,1
177,15645248,Ho,3.03528E+13,510,France,130553.47,7/11/2022,7/11/2022,7/11/2022,Female,30,0,0,2,1
178,15790355,Okechukwu,5.60221E+17,606,Germany,179351.89,1/25/2022,1/25/2022,1/25/2022,Male,36,5,190479.48,2,0
179,15762615,Campbell,6.77187E+18,597,Spain,94774.12,10/25/2022,10/25/2022,10/25/2022,Female,40,8,101993.12,1,1
180,15625426,Ashbolt,3.54752E+15,754,Germany,8080.85,6/26/2022,6/26/2022,6/26/2022,Female,55,3,161608.81,1,0
181,15716334,Rozier,5.41401E+15,850,Spain,19482.5,3/10/2022,3/10/2022,3/10/2022,Female,45,2,122311.21,1,1
182,15789669,Hsia,6.37438E+15,510,France,48071.61,12/9/2022,12/9/2022,12/9/2022,Male,65,2,0,2,1
183,15621075,Ogbonnaya,5.01013E+15,778,Germany,174531.27,7/14/2022,7/14/2022,7/14/2022,Female,45,1,162150.42,2,0
184,15810845,T'ang,5.58678E+15,636,France,55470.78,4/9/2022,4/9/2022,4/9/2022,Male,42,2,0,2,1
185,15719377,Cocci,3.55337E+15,804,France,8546.87,4/14/2022,4/14/2022,4/14/2022,Female,50,4,0,1,1
186,15654506,Chang,5.60225E+15,514,France,95857.18,12/25/2021,12/25/2021,12/25/2021,Male,32,8,0,2,0
187,15771977,T'ao,5.01012E+15,730,France,194945.8,9/20/2022,9/20/2022,9/20/2022,Female,39,1,99010.67,1,0
188,15708710,Ford,4.57291E+12,525,Spain,131521.72,9/28/2022,9/28/2022,9/28/2022,Female,37,0,0,1,1
189,15726676,Marshall,3.53872E+15,616,Spain,196108.51,1/4/2022,1/4/2022,1/4/2022,Male,30,5,0,2,1
190,15587421,Tsai,3.57182E+15,687,Germany,148564.76,4/17/2022,4/17/2022,4/17/2022,Female,34,7,111388.18,2,0
191,15726931,Onwumelu,3.54912E+15,715,France,92982.61,6/26/2022,6/26/2022,6/26/2022,Female,41,8,56214.85,2,0
192,15771086,Graham,3.54172E+15,512,France,17675.36,4/3/2022,4/3/2022,4/3/2022,Female,36,3,84327.77,2,0
193,15756850,Golovanov,4.12545E+15,479,France,114996.43,8/13/2022,8/13/2022,8/13/2022,Male,40,1,0,2,0
194,15702741,Potts,3.5524E+15,601,France,86957.42,3/28/2022,3/28/2022,3/28/2022,Male,32,8,93012.89,1,0
195,15679200,Crawford,3.53754E+15,580,Spain,128077.8,9/4/2022,9/4/2022,9/4/2022,Male,29,9,61710.44,2,0
196,15594815,Aleshire,6.75984E+17,807,France,600.36,5/16/2022,5/16/2022,5/16/2022,Male,35,3,174790.15,1,1
197,15635905,Moran,3.55515E+15,616,Spain,43001.46,1/19/2022,1/19/2022,1/19/2022,Female,32,6,0,2,1
198,15777892,Samsonova,3.5689E+15,721,Germany,158591.12,5/19/2022,5/19/2022,5/19/2022,Male,37,3,107720.64,1,1
199,15656176,Jenkins,3.56329E+15,501,France,47847.19,2/12/2022,2/12/2022,2/12/2022,Male,57,10,0,2,1
200,15811127,Volkov,6.7628E+17,521,France,10488.44,4/14/2022,4/14/2022,4/14/2022,Male,35,6,96423.84,1,0
201,15604482,Chiemezie,3.56132E+15,850,Spain,5978.2,3/2/2022,3/2/2022,3/2/2022,Male,30,2,141040.01,1,1
202,15622911,Jude,3.58886E+15,759,France,121409.06,5/3/2022,5/3/2022,5/3/2022,Male,42,4,105420.18,1,1
203,15600974,He,6.38505E+15,516,Spain,146145.93,6/15/2022,6/15/2022,6/15/2022,Male,50,5,0,1,1
204,15727868,Onuora,5.03892E+15,711,France,14374.86,2/4/2022,2/4/2022,2/4/2022,Female,38,2,129022.06,2,1
205,15627801,Ginikanwa,5.40393E+15,512,Spain,94670.77,4/29/2022,4/29/2022,4/29/2022,Male,33,3,176666.62,1,0
206,15773039,Ku,3.5768E+15,550,France,179670.31,7/30/2022,7/30/2022,7/30/2022,Male,37,3,0,1,1
207,15755262,McDonald,3.4143E+14,608,Spain,199304.74,9/25/2022,9/25/2022,9/25/2022,Female,41,3,89763.84,1,0
208,15679531,Collins,3.78728E+14,618,France,151954.39,5/29/2022,5/29/2022,5/29/2022,Male,34,5,134954.53,1,1
209,15684181,Hackett,5.10018E+15,643,France,142513.5,7/14/2022,7/14/2022,7/14/2022,Male,45,5,0,1,0
210,15612087,Dike,5.01013E+15,671,France,158264.62,2/1/2022,2/1/2022,2/1/2022,Male,45,2,106376.85,1,1
211,15752047,Trevisano,5.39528E+15,689,Germany,169381.9,3/22/2022,3/22/2022,3/22/2022,Male,33,2,161814.64,2,0
212,15624592,Tan,3.58919E+15,603,France,169915.02,1/6/2022,1/6/2022,1/6/2022,Male,31,8,0,2,1
